id,autores,autor_1,autor_2,autor_3,autor_4,autor_5,autor_6,autor_7,autor_8,autor_9,autor_10,autor_11,autor_12,autor_13
367,Perez J.,Perez J.,,,,,,,,,,,,
368,Sichra I.,Sichra I.,,,,,,,,,,,,
369,Prado F.,Prado F.,,,,,,,,,,,,
370,Sandoval G.,Sandoval G.,,,,,,,,,,,,
371,Freitas J.,Freitas J.,,,,,,,,,,,,
372,Caero Padilla M.,Caero Padilla M.,,,,,,,,,,,,
373,Aleman Vargas L.,Aleman Vargas L.,,,,,,,,,,,,
374,Moreno Valdivia A.,Moreno Valdivia A.,,,,,,,,,,,,
375,Copa Uyuni J.,Copa Uyuni J.,,,,,,,,,,,,
376,Torrez Canedo E.,Torrez Canedo E.,,,,,,,,,,,,
377,Aramburo D.,Aramburo D.,,,,,,,,,,,,
378,Saavedra L.,Saavedra L.,,,,,,,,,,,,
379,Torralba M.,Torralba M.,,,,,,,,,,,,
380,Cruz Ticona D.,Cruz Ticona D.,,,,,,,,,,,,
381,Villarroel P.,Villarroel P.,,,,,,,,,,,,
382,Cespedes R.,Cespedes R.,,,,,,,,,,,,
383,Ramirez A.,Ramirez A.,,,,,,,,,,,,
384,Chacin J.,Chacin J.,,,,,,,,,,,,
385,Roncken van Heel T.,Roncken van Heel T.,,,,,,,,,,,,
386,Aramburo T.,Aramburo T.,,,,,,,,,,,,
387,Camacho M.,Camacho M.,,,,,,,,,,,,
388,Kronk S.,Kronk S.,,,,,,,,,,,,
389,Malloy M.,Malloy M.,,,,,,,,,,,,
390,Malloy M.,Malloy M.,,,,,,,,,,,,
391,Chan A.,Chan A.,,,,,,,,,,,,
392,RENASEH,RENASEH,,,,,,,,,,,,
393,Urquieta P.,Urquieta P.,,,,,,,,,,,,
394,"Aquino E.,Rojas M.,Espinoza J.,Vallejo E.,Lozano D.,Torrico F.",Aquino E.,Rojas M.,Espinoza J.,Vallejo E.,Lozano D.,Torrico F.,,,,,,,
395,"Gonzales N.,Lujan M.,Navarro G.,Flores R.",Gonzales N.,Lujan M.,Navarro G.,Flores R.,,,,,,,,,
396,"de La Fuente M.,Cabrera J.",de La Fuente M.,Cabrera J.,,,,,,,,,,,
397,Diaz M.,Diaz M.,,,,,,,,,,,,
398,Diaz M.,Diaz M.,,,,,,,,,,,,
399,Hentschel J.,Hentschel J.,,,,,,,,,,,,
400,Laserna R.,Laserna R.,,,,,,,,,,,,
401,Barroso J.,Barroso J.,,,,,,,,,,,,
402,Cuba A.,Cuba A.,,,,,,,,,,,,
403,Rivera A.,Rivera A.,,,,,,,,,,,,
404,"Cuba L.,Loayza D.",Cuba L.,Loayza D.,,,,,,,,,,,
405,Rivero Ostoic A.,Rivero Ostoic A.,,,,,,,,,,,,
406,"Dacosta R.,Moreno D.",Dacosta R.,Moreno D.,,,,,,,,,,,
407,Laserna S.,Laserna S.,,,,,,,,,,,,
408,Benavides J.,Benavides J.,,,,,,,,,,,,
409,Laserna R.,Laserna R.,,,,,,,,,,,,
410,"Ramirez A.,Camacho M.",Ramirez A.,Camacho M.,,,,,,,,,,,
411,Solares H.,Solares H.,,,,,,,,,,,,
412,Torralba M.,Torralba M.,,,,,,,,,,,,
413,Cespedes R.,Cespedes R.,,,,,,,,,,,,
414,Ramirez A.,Ramirez A.,,,,,,,,,,,,
415,Prado F.,Prado F.,,,,,,,,,,,,
416,Perez de Rada E.,Perez de Rada E.,,,,,,,,,,,,
417,Urquizo C.,Urquizo C.,,,,,,,,,,,,
418,Blanco C.,Blanco C.,,,,,,,,,,,,
419,Requena C.,Requena C.,,,,,,,,,,,,
420,"Cabrera J.,Torrico E.,Delgado M.",Cabrera J.,Torrico E.,Delgado M.,,,,,,,,,,
421,Quillaguaman K.,Quillaguaman K.,,,,,,,,,,,,
422,Nina O.,Nina O.,,,,,,,,,,,,
423,"Copa Uyuni J.,Poma Calle W.",Copa Uyuni J.,Poma Calle W.,,,,,,,,,,,
424,Sanchez Serrano R.,Sanchez Serrano R.,,,,,,,,,,,,
425,Prado F.,Prado F.,,,,,,,,,,,,
426,Escalera N.,Escalera N.,,,,,,,,,,,,
427,"Cabrera J.,Cabrera L.",Cabrera J.,Cabrera L.,,,,,,,,,,,
428,"Blanco V.,Camacho M.,Jimenez S.,Quillaguaman K.,Veizaga J.",Blanco V.,Camacho M.,Jimenez S.,Quillaguaman K.,Veizaga J.,,,,,,,,
429,RENASEH,RENASEH,,,,,,,,,,,,
430,"Calla L.,Lujan M.",Calla L.,Lujan M.,,,,,,,,,,,
431,"Sainz J.,Calle V.",Sainz J.,Calle V.,,,,,,,,,,,
432,Ramirez A.,Ramirez A.,,,,,,,,,,,,
433,"Fernandez Vasquez C.,Fernandez Fuentes M.",Fernandez Vasquez C.,Fernandez Fuentes M.,,,,,,,,,,,
434,Crespo C.,Crespo C.,,,,,,,,,,,,
435,Corzo R.,Corzo R.,,,,,,,,,,,,
436,Diaz M.,Diaz M.,,,,,,,,,,,,
437,"Lewandowski S.,Urquieta P.,Cavagnoud R.",Lewandowski S.,Urquieta P.,Cavagnoud R.,,,,,,,,,,
438,Perales V.,Perales V.,,,,,,,,,,,,
439,Suarez H.,Suarez H.,,,,,,,,,,,,
440,Prado F.,Prado F.,,,,,,,,,,,,
441,"Pereira Morato R.,Lopez Fernandez D.",Pereira Morato R.,Lopez Fernandez D.,,,,,,,,,,,
442,Cabrera J.,Cabrera J.,,,,,,,,,,,,
443,Mamani V.,Mamani V.,,,,,,,,,,,,
444,Urquieta P.,Urquieta P.,,,,,,,,,,,,
445,"Tassi N., Canedo M.",Tassi N., Canedo M.,,,,,,,,,,,
446,Vera Zegarra M.,Vera Zegarra M.,,,,,,,,,,,,
447,Leon Salinas J.,Leon Salinas J.,,,,,,,,,,,,
448,Llanos Layme D.,Llanos Layme D.,,,,,,,,,,,,
449,Murillo M.,Murillo M.,,,,,,,,,,,,
450,Paucara Condori L.,Paucara Condori L.,,,,,,,,,,,,
451,"Loza A.,Anaya M.",Loza A.,Anaya M.,,,,,,,,,,,
452,Anaya M.,Anaya M.,,,,,,,,,,,,
453,Cabrera J.,Cabrera J.,,,,,,,,,,,,
454,"Arze B.,Basto S.,Cabero R.,Delgadillo J.,Fernandez G.,Gutierrez O.,Maldonado L.,Martinis M.,Melgar M.,Navarro J.,Perez A.,Tames V.,Valero L.",Arze B.,Basto S.,Cabero R.,Delgadillo J.,Fernandez G.,Gutierrez O.,Maldonado L.,Martinis M.,Melgar M.,Navarro J.,Perez A.,Tames V.,Valero L.
455,Jimenez N.,Jimenez N.,,,,,,,,,,,,
456,Salazar D.,Salazar D.,,,,,,,,,,,,
457,Arze A.,Arze A.,,,,,,,,,,,,
458,Contreras R.,Contreras R.,,,,,,,,,,,,
459,Becerra D.,Becerra D.,,,,,,,,,,,,
460,Sainz J.,Sainz J.,,,,,,,,,,,,
461,Calle V.,Calle V.,,,,,,,,,,,,
462,Mamani P.,Mamani P.,,,,,,,,,,,,
463,Hilari S.,Hilari S.,,,,,,,,,,,,
464,Macusaya C.,Macusaya C.,,,,,,,,,,,,
465,Manuel J.,Manuel J.,,,,,,,,,,,,
466,Vargas Sola E.,Vargas Sola E.,,,,,,,,,,,,
467,Ramoneda A.,Ramoneda A.,,,,,,,,,,,,
468,Garcia Hernandez L.,Garcia Hernandez L.,,,,,,,,,,,,
469,Ledo C.,Ledo C.,,,,,,,,,,,,
470,Tudela Canaviri M.,Tudela Canaviri M.,,,,,,,,,,,,
471,Escobar X.,Escobar X.,,,,,,,,,,,,
472,"Perez Mercado M.,Perez Mercado L.,Perez Mercado C.",Perez Mercado M.,Perez Mercado L.,Perez Mercado C.,,,,,,,,,,
473,Davalos J.,Davalos J.,,,,,,,,,,,,
474,Perales V.,Perales V.,,,,,,,,,,,,
475,Pablo D.,Pablo D.,,,,,,,,,,,,
476,Ferrufino A.,Ferrufino A.,,,,,,,,,,,,
477,Hardy S.,Hardy S.,,,,,,,,,,,,
478,Bustamante R.,Bustamante R.,,,,,,,,,,,,
479,"Le Gouill C.,Poupeau F.",Le Gouill C.,Poupeau F.,,,,,,,,,,,
480,Torrico E.,Torrico E.,,,,,,,,,,,,
481,Ferrufino A.,Ferrufino A.,,,,,,,,,,,,
482,Torrico E.,Torrico E.,,,,,,,,,,,,
483,Perales V.,Perales V.,,,,,,,,,,,,
484,Escobar X.,Escobar X.,,,,,,,,,,,,
485,Davalos J.,Davalos J.,,,,,,,,,,,,
486,Tudela Canaviri M.,Tudela Canaviri M.,,,,,,,,,,,,
487,Ojeda Copa A.,Ojeda Copa A.,,,,,,,,,,,,
488,"Crespo C.,Crespo L.",Crespo C.,Crespo L.,,,,,,,,,,,
489,"Cabrera J.,Escobar A.,Ugarte M.",Cabrera J.,Escobar A.,Ugarte M.,,,,,,,,,,
490,Osorio Borrero M.,Osorio Borrero M.,,,,,,,,,,,,
491,Quillaguaman K.,Quillaguaman K.,,,,,,,,,,,,
492,Rodriguez G.,Rodriguez G.,,,,,,,,,,,,
493,Rodriguez G.,Rodriguez G.,,,,,,,,,,,,
494,Quillaguaman K.,Quillaguaman K.,,,,,,,,,,,,
495,RENASEH,RENASEH,,,,,,,,,,,,
496,"Santa Cruz X.,Moscoso M.",Santa Cruz X.,Moscoso M.,,,,,,,,,,,
497,Mazurek H.,Mazurek H.,,,,,,,,,,,,
498,Fundacion Alternativas,Fundacion Alternativas,,,,,,,,,,,,
499,"Comite Municipal de Seguridad Alimentaria de el Alto,Fundacion Alternativas",Comite Municipal de Seguridad Alimentaria de el Alto,Fundacion Alternativas,,,,,,,,,,,
500,"Conde A.,Thellaeche J.,Teran G.",Conde A.,Thellaeche J.,Teran G.,,,,,,,,,,
501,"Weiss S.,Cabrera J.",Weiss S.,Cabrera J.,,,,,,,,,,,
502,Fernandez B.,Fernandez B.,,,,,,,,,,,,
503,"Ugarte M.,Cabrera J.",Ugarte M.,Cabrera J.,,,,,,,,,,,
504,"Cabrera J.,Escobar A.",Cabrera J.,Escobar A.,,,,,,,,,,,
505,Peñaranda E.,Peñaranda E.,,,,,,,,,,,,
506,Peredo V.,Peredo V.,,,,,,,,,,,,
507,Ruiz Garvia R.,Ruiz Garvia R.,,,,,,,,,,,,
